,Users,Articles,Language
0,47892574,6875570,English
1,119377,6116946,Cebuano
2,4427510,2938316,German
3,4996197,2632577,French
4,921087,2593447,Swedish
5,1361279,2166115,Dutch
6,3626022,1997015,Russian
7,7221138,1975687,Spanish
8,2548898,1879745,Italian
9,1327219,1626942,Polish
10,245486,1624501,Egyptian Arabic
11,3574640,1439098,Chinese
12,2234237,1428212,Japanese
13,763443,1342771,Ukrainian
14,964269,1295233,Vietnamese
15,60626,1266596,Waray
16,2614992,1239875,Arabic
17,3117092,1132433,Portuguese
18,1334984,1011844,Persian
19,491376,758464,Catalan
20,1498009,702888,Indonesian
21,381663,693399,Serbian
22,857147,683028,Korean
23,617467,634743,Norwegian
24,1608315,619186,Turkish
25,39078,601391,Chechen
26,583256,579275,Finnish
27,671449,552387,Czech
28,570153,545632,Hungarian
29,52681,501857,Tatar
30,656674,482738,Romanian
31,221066,460003,Serbo-Croatian
32,164541,442745,Basque
33,64100,433211,Minnan
34,341470,388894,Malay
35,1175167,361015,Hebrew
36,227462,358074,Esperanto
37,146798,312751,Armenian
38,487842,301847,Danish
39,348584,300243,Bulgarian
40,142008,299586,Uzbek
41,92095,280990,Welsh
42,1494775,255945,Simple English
43,253983,250186,Slovak
44,196621,247189,Estonian
45,144926,245951,Belarusian
46,51914,243652,South Azerbaijani
47,430815,239229,Greek
48,159225,236926,Kazakh
49,19779,227748,Minangkabau
50,317949,221894,Croatian
51,190240,218529,Lithuanian
52,148135,213040,Galician
53,183932,210090,Urdu
54,296736,201036,Azerbaijani
55,235237,186474,Slovenian
56,7770,180763,Ladin
57,162908,174572,Georgian
58,137964,170337,Norwegian Nynorsk
59,235933,167288,Tamil
60,483631,166367,Thai
61,825927,163485,Hindi
62,466881,157382,Bangla
63,118452,146000,Macedonian
64,278474,143071,Cantonese
65,184060,139349,Latin
66,126835,136479,Asturian
67,125007,129430,Latvian
68,179734,118323,Afrikaans
69,51558,113721,Tajik
70,122799,108256,Burmese
71,131457,99136,Telugu
72,165345,98954,Albanian
73,33852,98025,Malagasy
74,165021,97708,Marathi
75,163710,93792,Bosnian
76,55823,89932,Occitan
77,87076,87455,Belarusian (Taraškievica orthography)
78,80774,86717,Breton
79,183064,85888,Malayalam
80,55262,85049,Low German
81,72087,83779,Kurdish
82,69154,82539,Swahili
83,41216,78403,Kyrgyz
84,44892,74266,Lombard
85,63612,74092,Javanese
86,38919,73205,Western Punjabi
87,28492,72434,Newari
88,64210,69994,Central Kurdish
89,33868,69715,Haitian Creole
90,36955,69321,Venetian
91,28449,68897,Piedmontese
92,42241,63739,Bashkir
93,62870,63728,Luxembourgish
94,32311,61799,Sundanese
95,62481,60647,Irish
96,100305,58903,Icelandic
97,25787,58147,Silesian
98,35963,56466,Chuvash
99,51043,54703,Punjabi
100,50633,54279,Western Frisian
101,39628,50059,Ido
102,30693,49519,Hausa
103,144126,47507,Tagalog
104,79016,46735,Aragonese
105,106019,44062,Wu
106,38882,42317,Mazanderani
107,29321,42035,Zazaki
108,36533,37721,Volapük
109,20927,35380,Igbo
110,111904,34524,Scots
111,29535,34237,Yoruba
112,88261,32665,Kannada
113,68549,31305,Nepali
114,106519,30588,Alemannic
115,79255,30440,Gujarati
116,52023,29698,Interlingua
117,5935,29506,Kotava
118,29883,28407,Crimean Tatar
119,71973,27170,Bavarian
120,46077,26291,Sicilian
121,29144,25226,Balinese
122,26159,25087,Bishnupriya
123,92303,24170,Mongolian
124,31029,24057,Quechua
125,18213,22645,Navajo
126,20320,21404,Mingrelian
127,69477,21147,Sinhala
128,33847,19740,Pashto
129,21121,19385,Northern Frisian
130,25427,19024,Ossetic
131,8979,18688,Tumbuka
132,37225,18480,Odia
133,19049,18032,Sindhi
134,25340,17558,Central Bikol
135,26753,17229,Samogitian
136,25952,17095,Yakut
137,22365,16542,Mindong
138,29072,15981,Scottish Gaelic
139,13881,15845,Buginese
140,53683,15469,Yiddish
141,18096,15384,Iloko
142,48539,15375,Amharic
143,30048,14985,Limburgish
144,31201,14884,Neapolitan
145,6111,14773,Gorontalo
146,14674,14116,Maithili
147,31020,14114,Faroese
148,25764,13937,Upper Sorbian
149,17601,13935,Basa Banyumasan
150,4795,13663,Shan
151,42232,13621,Assamese
152,104349,13452,Literary Chinese
153,27238,13058,Emiliano-Romagnolo
154,28972,12994,Achinese
155,20672,12816,Interlingue
156,25406,12421,Walloon
157,40974,12207,Sanskrit
158,11172,12053,Western Armenian
159,8319,11544,Santali
160,21930,11510,Zulu
161,18323,11441,Shona
162,15005,11361,Eastern Mari
163,17150,11274,Ligurian
164,34509,11194,Fiji Hindi
165,16528,11090,Gilaki
166,15085,10788,Banjar
167,43732,10710,Khmer
168,11246,10432,Western Mari
169,4840,10428,Manipuri
170,33612,10270,Hakka Chinese
171,13858,10230,Moroccan Arabic
172,4410,10202,Dagbani
173,21963,9821,Pampanga
174,12009,9487,Tarantino
175,30981,9243,Rusyn
176,36184,8728,Bhojpuri
177,7192,8688,Northern Sotho
178,23646,8229,Corsican
179,38753,8085,Somali
180,27867,8076,West Flemish
181,19816,7934,Māori
182,29826,7930,Low Saxon
183,2164,7926,Talysh
184,30174,7892,Northern Sami
